protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,216.105.143.146,4145,socks4://216.105.143.146:4145,elite,false,394,394,100,100,1003,216.105.143.146,2,us,Georgia,Forest Park,America/New_York,20081,NET2ATLANTA.COM LLC,14,2026-09-03T07:47:52.225Z,2026-09-26T04:33:17.900Z
socks4,72.205.0.93,4145,socks4://72.205.0.93:4145,elite,false,532,556.5,100,100,1007,72.205.0.93,2,us,Virginia,Fredericksburg,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T20:39:07.932Z,2026-09-26T04:25:38.279Z
socks4,174.75.211.222,4145,socks4://174.75.211.222:4145,elite,false,533,561.5,100,100,1006,174.75.211.222,2,us,Louisiana,Donaldsonville,America/Chicago,22773,Cox Communications Inc.,12,2025-09-10T19:33:53.633Z,2026-09-26T04:27:37.627Z
socks4,184.181.217.206,4145,socks4://184.181.217.206:4145,elite,false,541,564,100,100,1002,184.181.217.206,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,12,2025-09-10T19:33:55.652Z,2026-09-26T04:29:22.641Z
socks4,184.181.217.201,4145,socks4://184.181.217.201:4145,elite,false,542,552.5,100,100,1004,184.181.217.201,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,1,2026-03-17T17:23:31.097Z,2026-09-26T04:33:31.688Z
socks4,184.181.217.213,4145,socks4://184.181.217.213:4145,elite,false,546,570.5,100,100,1005,184.181.217.213,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,12,2025-09-10T19:34:05.084Z,2026-09-26T04:30:07.774Z
socks4,174.77.111.197,4145,socks4://174.77.111.197:4145,elite,false,547,553,100,100,1004,174.77.111.197,2,us,Virginia,Suffolk,America/New_York,22773,Cox Communications Inc.,12,2025-09-10T19:34:12.908Z,2026-09-26T04:33:29.045Z
socks4,68.1.210.163,4145,socks4://68.1.210.163:4145,elite,false,547,556.5,100,100,1004,68.1.210.163,2,us,Louisiana,Youngsville,America/Chicago,22773,Cox Communications Inc.,12,2025-09-10T19:34:13.192Z,2026-09-26T04:30:26.465Z
socks4,174.77.111.198,49547,socks4://174.77.111.198:49547,elite,false,548,548,100,100,1003,174.77.111.198,2,us,Virginia,Suffolk,America/New_York,22773,Cox Communications Inc.,12,2025-09-10T19:34:14.235Z,2026-09-26T04:30:37.127Z
socks4,72.194.42.131,4145,socks4://72.194.42.131:4145,elite,false,549,553,100,100,1008,72.194.42.131,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,18,2026-09-04T08:46:33.981Z,2026-09-26T04:29:47.088Z
socks4,184.178.172.5,15303,socks4://184.178.172.5:15303,elite,false,551,546.5,100,100,1007,184.178.172.5,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:34:13.102Z,2026-09-26T04:31:39.351Z
